index,fullpathname,classname,library,label,layer_number
0,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\AuthType.java,AuthType,k9mail-library,Information Holder,3.4.
1,new_version\k9mail-library\src\main\java\com\fsck\k9\mailstore\BinaryMemoryBody.java,BinaryMemoryBody,k9mail-library,Information Holder,3.4.
2,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\Address.java,Address,k9mail-library,Service Provider,3.4.
3,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\Authentication.java,Authentication,k9mail-library,Service Provider,3.3.
4,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\AuthenticationFailedException.java,AuthenticationFailedException,k9mail-library,Information Holder,3.4.
5,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\Body.java,Body,k9mail-library,Service Provider,3.4.
6,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\BodyFactory.java,BodyFactory,k9mail-library,Service Provider,3.3.
7,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\BodyPart.java,BodyPart,k9mail-library,Information Holder,3.4.
8,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\BoundaryGenerator.java,BoundaryGenerator,k9mail-library,Service Provider,3.3.
9,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\CertificateChainException.java,CertificateChainException,k9mail-library,Information Holder,3.4.
10,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\CertificateValidationException.Reason.java,Reason,k9mail-library,Information Holder,3.4.
11,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\CertificateValidationException.java,CertificateValidationException,k9mail-library,Information Holder,3.4.
12,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\ConnectionSecurity.java,ConnectionSecurity,k9mail-library,Information Holder,3.4.
13,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\DefaultBodyFactory.java,DefaultBodyFactory,k9mail-library,Service Provider,3.3.
14,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\FetchProfile.Item.java,Item,k9mail-library,Information Holder,3.4.
15,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\FetchProfile.java,FetchProfile,k9mail-library,Structurer,3.3.
16,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\Flag.java,Flag,k9mail-library,Information Holder,3.4.
17,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\Folder.FolderClass.java,FolderClass,k9mail-library,Information Holder,3.4.
18,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\Folder.FolderType.java,FolderType,k9mail-library,Information Holder,3.4.
19,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\Folder.java,Folder,k9mail-library,Structurer,3.4.
20,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\K9MailLib.DebugStatus.java,DebugStatus,k9mail-library,Information Holder,3.4.
21,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\K9MailLib.DefaultDebugStatus.java,DefaultDebugStatus,k9mail-library,Information Holder,3.4.
